793.17, 5171
793.45, 4939
793.72, 4734
793.99, 4491
794.27, 4286
794.54, 4066
794.82, 3880
795.09, 3741
795.37, 3633
795.64, 3553
795.92, 3493
796.19, 3491
796.47, 3491
796.74, 3483
797.02, 3447
797.29, 3422
797.57, 3405
797.85, 3367
798.12, 3352
798.40, 3392
798.67, 3390
798.95, 3350
799.22, 3318
799.50, 3345
799.77, 3392
800.05, 3415
800.33, 3455
800.60, 3411
800.88, 3439
801.15, 3455
801.43, 3504
801.71, 3523
801.98, 3521
802.26, 3559
802.53, 3607
802.81, 3616
803.09, 3618
803.36, 3654
803.64, 3620
803.91, 3559
804.19, 3439
804.47, 3312
804.74, 3261
805.02, 3206
805.30, 3196
805.57, 3159
805.85, 3107
806.13, 3010
806.40, 2965
806.68, 2906
806.96, 2889
807.23, 2961
807.51, 2952
807.79, 2855
808.06, 2803
808.34, 2729
808.62, 2663
808.90, 2635
809.17, 2602
809.45, 2576
809.73, 2511
810.00, 2526
810.28, 2578
810.56, 2579
810.84, 2627
811.11, 2627
811.39, 2623
811.67, 2629
811.95, 2532
812.22, 2418
812.50, 2333
812.78, 2255
813.06, 2264
813.33, 2261
813.61, 2293
813.89, 2293
814.17, 2316
814.44, 2335
814.72, 2350
815.00, 2376
815.28, 2414
815.56, 2386
815.83, 2374
816.11, 2344
816.39, 2335
816.67, 2329
816.95, 2355
817.22, 2380
817.50, 2466
817.78, 2456
818.06, 2500
818.34, 2543
818.62, 2517
818.89, 2462
819.17, 2340
819.45, 2299
819.73, 2238
820.01, 2217
820.29, 2224
820.56, 2253
820.84, 2268
821.12, 2302
821.40, 2281
821.68, 2221
821.96, 2264
822.24, 2209
822.51, 2194
822.79, 2209
823.07, 2207
823.35, 2207
823.63, 2192
823.91, 2168
824.19, 2187
824.47, 2219
824.74, 2202
825.02, 2221
825.30, 2213
825.58, 2304
825.86, 2380
826.14, 2380
826.42, 2382
826.70, 2354
826.98, 2367
827.26, 2331
827.53, 2319
827.81, 2323
828.09, 2297
828.37, 2304
828.65, 2238
828.93, 2209
829.21, 2234
829.49, 2264
829.77, 2255
830.05, 2295
830.33, 2276
830.61, 2224
830.89, 2219
831.16, 2223
831.44, 2236
831.72, 2264
832.00, 2304
832.28, 2338
832.56, 2354
832.84, 2348
833.12, 2338
833.40, 2306
833.68, 2236
833.96, 2183
834.24, 2150
834.52, 2128
834.80, 2109
835.08, 2122
835.36, 2196
835.64, 2154
835.92, 2173
836.20, 2207
836.48, 2280
836.76, 2327
837.04, 2355
837.32, 2367
837.60, 2392
837.88, 2448
838.16, 2485
838.44, 2448
838.72, 2441
839.00, 2437
839.28, 2466
839.56, 2414
839.84, 2412
840.12, 2359
840.40, 2393
840.68, 2430
840.96, 2507
841.24, 2534
841.52, 2538
841.80, 2496
842.08, 2464
842.36, 2392
842.64, 2403
842.92, 2424
843.20, 2395
843.48, 2373
843.76, 2382
844.04, 2331
844.32, 2319
844.60, 2352
844.88, 2327
845.16, 2365
845.44, 2321
845.72, 2340
846.00, 2329
846.28, 2388
846.56, 2447
846.84, 2523
847.12, 2523
847.40, 2477
847.68, 2475
847.96, 2439
848.24, 2401
848.52, 2430
848.80, 2327
849.08, 2333
849.36, 2317
849.64, 2304
849.92, 2316
850.20, 2319
850.48, 2338
850.77, 2390
851.05, 2399
851.33, 2467
851.61, 2674
851.89, 2623
852.17, 2519
852.45, 2486
852.73, 2542
853.01, 2636
853.29, 2788
853.57, 2788
853.85, 2714
854.13, 2646
854.41, 2642
854.69, 2716
854.97, 2771
855.25, 2855
855.53, 2953
855.81, 3162
856.09, 3428
856.37, 3889
856.66, 4493
856.94, 5370
857.22, 5873
857.50, 5723
857.78, 4915
858.06, 4148
858.34, 3542
858.62, 3227
858.90, 3103
859.18, 3020
859.46, 2957
859.74, 2878
860.02, 2817
860.30, 2832
860.58, 2838
860.86, 2889
861.14, 2950
861.42, 3018
861.71, 3056
861.99, 3140
862.27, 3217
862.55, 3278
862.83, 3341
863.11, 3434
863.39, 3559
863.67, 3565
863.95, 3527
864.23, 3521
864.51, 3523
864.79, 3523
865.07, 3409
865.35, 3246
865.63, 3033
865.91, 2936
866.19, 2921
866.48, 2881
866.76, 2902
867.04, 2929
867.32, 2972
867.60, 2972
867.88, 2974
868.16, 2965
868.44, 3024
868.72, 3009
869.00, 2993
869.28, 2982
869.56, 2959
869.84, 2934
870.12, 2891
870.40, 2885
870.68, 2916
870.96, 2931
871.24, 2957
871.52, 2971
871.80, 2946
872.09, 2955
872.37, 2984
872.65, 3009
872.93, 2991
873.21, 2982
873.49, 2978
873.77, 2957
874.05, 2923
874.33, 2914
874.61, 2881
874.89, 2830
875.17, 2775
875.45, 2722
875.73, 2709
876.01, 2712
876.29, 2760
876.57, 2785
876.85, 2773
877.13, 2758
877.41, 2785
877.69, 2769
877.97, 2760
878.25, 2790
878.53, 2834
878.81, 2809
879.09, 2794
879.37, 2750
879.65, 2743
879.93, 2756
880.21, 2750
880.49, 2686
880.77, 2636
881.06, 2652
881.34, 2728
881.62, 2796
881.90, 2830
882.18, 2855
882.46, 2887
882.74, 2925
883.02, 3001
883.30, 3046
883.58, 3069
883.86, 3077
884.14, 3134
884.42, 3159
884.70, 3217
884.98, 3229
885.26, 3176
885.54, 3174
885.82, 3119
886.10, 3029
886.38, 3016
886.66, 2978
886.94, 2963
887.21, 2955
887.49, 2963
887.77, 3007
888.05, 3102
888.33, 3187
