793.17, 7470
793.45, 7191
793.72, 6933
793.99, 6650
794.27, 6433
794.54, 6141
794.82, 5769
795.09, 5594
795.37, 5446
795.64, 5401
795.92, 5309
796.19, 5395
796.47, 5395
796.74, 5292
797.02, 5175
797.29, 5076
797.57, 4886
797.85, 4791
798.12, 4711
798.40, 4668
798.67, 4634
798.95, 4603
799.22, 4613
799.50, 4592
799.77, 4651
800.05, 4662
800.33, 4641
800.60, 4618
800.88, 4626
801.15, 4558
801.43, 4571
801.71, 4615
801.98, 4561
802.26, 4527
802.53, 4504
802.81, 4446
803.09, 4385
803.36, 4358
803.64, 4305
803.91, 4305
804.19, 4275
804.47, 4189
804.74, 4104
805.02, 4036
805.30, 3920
805.57, 3819
805.85, 3745
806.13, 3696
806.40, 3654
806.68, 3622
806.96, 3618
807.23, 3603
807.51, 3567
807.79, 3529
808.06, 3472
808.34, 3464
808.62, 3451
808.90, 3462
809.17, 3443
809.45, 3422
809.73, 3455
810.00, 3367
810.28, 3324
810.56, 3286
810.84, 3238
811.11, 3231
811.39, 3208
811.67, 3141
811.95, 3103
812.22, 3067
812.50, 2999
812.78, 3001
813.06, 2972
813.33, 2946
813.61, 2916
813.89, 2898
814.17, 2855
814.44, 2870
814.72, 2910
815.00, 2889
815.28, 2893
815.56, 2876
815.83, 2906
816.11, 2840
816.39, 2885
816.67, 2885
816.95, 2826
817.22, 2794
817.50, 2766
817.78, 2682
818.06, 2655
818.34, 2669
818.62, 2686
818.89, 2652
819.17, 2621
819.45, 2627
819.73, 2654
820.01, 2690
820.29, 2693
820.56, 2686
820.84, 2722
821.12, 2777
821.40, 2752
821.68, 2673
821.96, 2627
822.24, 2642
822.51, 2688
822.79, 2659
823.07, 2652
823.35, 2657
823.63, 2644
823.91, 2669
824.19, 2640
824.47, 2650
824.74, 2682
825.02, 2752
825.30, 2754
825.58, 2786
825.86, 2822
826.14, 2872
826.42, 2906
826.70, 2923
826.98, 2879
827.26, 2862
827.53, 2821
827.81, 2817
828.09, 2794
828.37, 2712
828.65, 2684
828.93, 2661
829.21, 2644
829.49, 2595
829.77, 2581
830.05, 2578
830.33, 2604
830.61, 2608
830.89, 2657
831.16, 2674
831.44, 2674
831.72, 2691
832.00, 2707
832.28, 2720
832.56, 2718
832.84, 2699
833.12, 2714
833.40, 2688
833.68, 2709
833.96, 2678
834.24, 2712
834.52, 2735
